qname,name
Q5878053,北海道第1区
Q9498886,北海道第2区
Q11403004,北海道第3区
Q11403007,北海道第4区
Q5878048,北海道第5区
Q11403009,北海道第6区
Q11403010,北海道第7区
Q9498966,北海道第8区
Q9499044,北海道第9区
Q11402999,北海道第10区
Q11403000,北海道第11区
Q11403001,北海道第12区
Q4778663,青森県第1区
Q11662287,青森県第2区
Q11662288,青森県第3区
Q11662289,青森県第4区
Q49876,岩手県第1区
Q11474791,岩手県第2区
Q11474793,岩手県第3区
Q11474794,岩手県第4区
Q11453772,宮城県第1区
Q11453776,宮城県第2区
Q11453778,宮城県第3区
Q11453779,宮城県第4区
Q11453780,宮城県第5区
Q11453781,宮城県第6区
Q11595528,秋田県第1区
Q11595529,秋田県第2区
Q11595531,秋田県第3区
Q8047616,山形県第1区
Q11468571,山形県第2区
Q11468573,山形県第3区
Q11593326,福島県第1区
Q11593328,福島県第2区
Q5507720,福島県第3区
Q11593331,福島県第4区
Q11593333,福島県第5区
Q11617501,茨城県第1区
Q11617503,茨城県第2区
Q11617504,茨城県第3区
Q5983712,茨城県第4区
Q11617507,茨城県第5区
Q11617508,茨城県第6区
Q11617509,茨城県第7区
Q11535297,栃木県第1区
Q11535300,栃木県第2区
Q56855,栃木県第3区
Q11535301,栃木県第4区
Q11535303,栃木県第5区
Q5618871,群馬県第1区
Q11609702,群馬県第2区
Q11609704,群馬県第3区
Q5618873,群馬県第4区
Q11609705,群馬県第5区
Q11426793,埼玉県第1区
Q11426795,埼玉県第2区
Q7402528,埼玉県第3区
Q11426798,埼玉県第4区
Q11426800,埼玉県第5区
Q11426801,埼玉県第6区
Q11426803,埼玉県第7区
Q11426805,埼玉県第8区
Q11426804,埼玉県第9区
Q11426786,埼玉県第10区
Q11426787,埼玉県第11区
Q11426788,埼玉県第12区
Q11426789,埼玉県第13区
Q11426791,埼玉県第14区
Q11426792,埼玉県第15区
Q11406380,千葉県第1区
Q11406381,千葉県第2区
Q11406383,千葉県第3区
Q5095299,千葉県第4区
Q11406386,千葉県第5区
Q11406387,千葉県第6区
Q11406389,千葉県第7区
Q11406388,千葉県第8区
Q11406390,千葉県第9区
Q11406376,千葉県第10区
Q11406377,千葉県第11区
Q11406378,千葉県第12区
Q11406379,千葉県第13区
Q7813806,東京都第1区
Q7813811,東京都第2区
Q10343508,東京都第3区
Q10343531,東京都第4区
Q11102988,東京都第5区
Q7813818,東京都第6区
Q10343578,東京都第7区
Q7813822,東京都第8区
Q11102990,東京都第9区
Q7813802,東京都第10区
Q11102981,東京都第11区
Q11525648,東京都第12区
Q11525650,東京都第13区
Q11525651,東京都第14区
Q11525652,東京都第15区
Q11525653,東京都第16区
Q11525654,東京都第17区
Q7813807,東京都第18区
Q11525655,東京都第19区
Q11525656,東京都第20区
Q11525658,東京都第21区
Q10343462,東京都第22区
Q11525659,東京都第23区
Q11525660,東京都第24区
Q10971927,東京都第25区
Q6360246,神奈川県第1区
Q6360252,神奈川県第2区
Q11589215,神奈川県第3区
Q11589219,神奈川県第4区
Q11589221,神奈川県第5区
Q11589222,神奈川県第6区
Q11589224,神奈川県第7区
Q11589223,神奈川県第8区
Q11589225,神奈川県第9区
Q6360240,神奈川県第10区
Q6360245,神奈川県第11区
Q11589207,神奈川県第12区
Q11589208,神奈川県第13区
Q11589209,神奈川県第14区
Q11589211,神奈川県第15区
Q11589210,神奈川県第16区
Q11589212,神奈川県第17区
Q11589213,神奈川県第18区
Q11503150,新潟県第1区
Q11503151,新潟県第2区
Q11503154,新潟県第3区
Q11503156,新潟県第4区
Q7034372,新潟県第5区
Q11503158,新潟県第6区
Q11456543,富山県第1区
Q11456545,富山県第2区
Q11456548,富山県第3区
Q11586035,石川県第1区
Q6080258,石川県第2区
Q11586036,石川県第3区
Q11591498,福井県第1区
Q11591499,福井県第2区
Q4356088,山梨県第1区
Q11469742,山梨県第2区
Q11654363,長野県第1区
Q11654364,長野県第2区
Q11654365,長野県第3区
Q11654368,長野県第4区
Q11654371,長野県第5区
Q11471571,岐阜県第1区
Q11471573,岐阜県第2区
Q11471575,岐阜県第3区
Q11471576,岐阜県第4区
Q11471577,岐阜県第5区
Q11663236,静岡県第1区
Q11663238,静岡県第2区
Q11663241,静岡県第3区
Q11663242,静岡県第4区
Q11663243,静岡県第5区
Q11663244,静岡県第6区
Q11663245,静岡県第7区
Q11663246,静岡県第8区
Q11494342,愛知県第1区
Q11494344,愛知県第2区
Q11494346,愛知県第3区
Q11494348,愛知県第4区
Q4696554,愛知県第5区
Q4696552,愛知県第6区
Q11494352,愛知県第7区
Q11494353,愛知県第8区
Q11494354,愛知県第9区
Q11494336,愛知県第10区
Q11494338,愛知県第11区
Q11494337,愛知県第12区
Q11494340,愛知県第13区
Q11494339,愛知県第14区
Q11494341,愛知県第15区
Q11357843,三重県第1区
Q11357845,三重県第2区
Q6843509,三重県第3区
Q11357847,三重県第4区
Q11357849,三重県第5区
Q7496287,滋賀県第1区
Q11564691,滋賀県第2区
Q11564692,滋賀県第3区
Q11564693,滋賀県第4区
Q11375290,京都府第1区
Q6452102,京都府第2区
Q6452106,京都府第3区
Q11375291,京都府第4区
Q6452111,京都府第5区
Q11375292,京都府第6区
Q11441208,大阪府第1区
Q11441212,大阪府第2区
Q11441213,大阪府第3区
Q11441214,大阪府第4区
Q17221683,大阪府第5区
Q11441220,大阪府第6区
Q7105541,大阪府第7区
Q11441222,大阪府第8区
Q11441223,大阪府第9区
Q7105539,大阪府第10区
Q11441202,大阪府第11区
Q376715,大阪府第12区
Q11441203,大阪府第13区
Q11441204,大阪府第14区
Q11441205,大阪府第15区
Q11441207,大阪府第16区
Q11441206,大阪府第17区
Q11441209,大阪府第18区
Q7105540,大阪府第19区
Q11393146,兵庫県第1区
Q11393148,兵庫県第2区
Q11393149,兵庫県第3区
Q11393152,兵庫県第4区
Q11393154,兵庫県第5区
Q11393156,兵庫県第6区
Q11393157,兵庫県第7区
Q11393159,兵庫県第8区
Q11393158,兵庫県第9区
Q11393144,兵庫県第10区
Q10959517,兵庫県第11区
Q11393145,兵庫県第12区
Q11445240,奈良県第1区
Q6965225,奈良県第2区
Q11445241,奈良県第3区
Q11445243,奈良県第4区
Q11417481,和歌山県第1区
Q11417484,和歌山県第2区
Q7960863,和歌山県第3区
Q7828499,鳥取県第1区
Q11674598,鳥取県第2区
Q11476527,島根県第1区
Q11476528,島根県第2区
Q11472349,岡山県第1区
Q11472351,岡山県第2区
Q11472353,岡山県第3区
Q7081866,岡山県第4区
Q11472354,岡山県第5区
Q11484884,広島県第1区
Q11484886,広島県第2区
Q11484887,広島県第3区
Q11484889,広島県第4区
Q11484891,広島県第5区
Q11484890,広島県第6区
Q5771187,広島県第7区
Q11467107,山口県第1区
Q11467109,山口県第2区
Q11467111,山口県第3区
Q11467112,山口県第4区
Q7813763,徳島県第1区
Q11489990,徳島県第2区
Q11667404,香川県第1区
Q11667406,香川県第2区
Q11667408,香川県第3区
Q11493668,愛媛県第1区
Q11493670,愛媛県第2区
Q11493673,愛媛県第3区
Q11493674,愛媛県第4区
Q11672488,高知県第1区
Q11672489,高知県第2区
Q11592614,福岡県第1区
Q11592616,福岡県第2区
Q11592618,福岡県第3区
Q11592620,福岡県第4区
Q11592622,福岡県第5区
Q11592623,福岡県第6区
Q11592624,福岡県第7区
Q5507680,福岡県第8区
Q11592625,福岡県第9区
Q11592612,福岡県第10区
Q11592613,福岡県第11区
Q7398896,佐賀県第1区
Q11384769,佐賀県第2区
Q6958596,長崎県第1区
Q6958601,長崎県第2区
Q251994,長崎県第3区
Q11652769,長崎県第4区
Q11432906,大分県第1区
Q11432908,大分県第2区
Q11432909,大分県第3区
Q11568324,熊本県第1区
Q11568327,熊本県第2区
Q11568329,熊本県第3区
Q11568330,熊本県第4区
Q11568331,熊本県第5区
Q11454477,宮崎県第1区
Q11454479,宮崎県第2区
Q11454481,宮崎県第3区
Q11676837,鹿児島県第1区
Q11676838,鹿児島県第2区
Q6346640,鹿児島県第3区
Q11676841,鹿児島県第4区
Q11676842,鹿児島県第5区
Q11552835,沖縄県第1区
Q11552836,沖縄県第2区
Q11552837,沖縄県第3区
Q11552839,沖縄県第4区
Q5878130,比例北海道ブロック
Q49913,比例東北ブロック
Q11547386,比例北関東ブロック
Q7570062,比例南関東ブロック
Q7814046,比例東京ブロック
Q11547387,比例北陸信越ブロック
Q11547389,比例東海ブロック
Q11547390,比例近畿ブロック
Q11547384,比例中国ブロック
Q7496611,比例四国ブロック
Q11547385,比例九州ブロック
